time,sss
12/15/22,38.5496521
12/22/22,38.68610764
12/29/22,39.17396545
1/5/23,39.3227005
1/12/23,39.20200729
1/19/23,39.16459656
1/26/23,39.06689835
2/2/23,39.12272644
2/9/23,39.30699158
2/16/23,39.16519165
2/23/23,39.16044235
3/2/23,38.70803833
3/9/23,38.86780167
3/16/23,38.97813797
3/23/23,38.85858154
3/30/23,38.45279312
4/6/23,38.26964951
4/13/23,38.47524261
4/20/23,38.32360458
4/27/23,38.62089539
5/4/23,38.79433823
5/11/23,39.13902283
5/18/23,39.00140762
5/25/23,38.23661041
6/1/23,38.30117035
6/8/23,38.13065338
6/15/23,38.32209396
6/22/23,38.96813202
6/29/23,38.87517929
7/6/23,38.11533356
7/13/23,38.72581482
7/20/23,38.76317596
7/27/23,39.14213943
8/3/23,39.2556572
8/10/23,38.89017487
8/17/23,38.92052078
8/24/23,39.47141266
8/31/23,39.59701157
9/7/23,39.77200317
9/14/23,39.80689621
9/21/23,39.5270195
9/28/23,39.27136993
10/5/23,39.49635696
10/12/23,39.36520004
10/19/23,39.30810928
10/26/23,39.02748108
11/2/23,39.28958893
11/9/23,39.57344055
11/16/23,39.5812149
11/23/23,39.53818893
11/30/23,39.23170471
12/7/23,39.33161926
12/14/23,39.6930542
12/21/23,39.6983757
12/28/23,39.33269119
1/4/24,38.89736557
1/11/24,38.94159698
1/18/24,39.17175293
1/25/24,39.22986603
2/1/24,39.8915863
2/8/24,39.61881256
2/15/24,39.24450684
2/22/24,39.00294113
2/29/24,38.98768616
3/7/24,39.24999237
3/14/24,39.68867111
3/21/24,39.02025223
3/28/24,38.71615601
4/4/24,39.08083344
4/11/24,38.67818069
4/18/24,38.7015152
4/25/24,38.79380417
5/2/24,38.93207169
5/9/24,39.05182266
5/16/24,39.22176743
5/23/24,39.10944366
5/30/24,39.11237335
6/6/24,38.70692444
6/13/24,38.65578461
6/20/24,38.69857025
6/27/24,38.31914902
7/4/24,38.70188522
7/11/24,38.61730576
7/18/24,38.50074005
7/25/24,38.30223846
8/1/24,38.83720016
8/8/24,38.88378906
8/15/24,39.27674103
8/22/24,39.28806305
8/29/24,40.08496857
9/5/24,40.14326859
9/12/24,39.47994614
9/19/24,39.57226944
9/26/24,39.2543602
10/3/24,39.21014786
10/10/24,39.65590286
10/17/24,39.40909195
10/24/24,39.25629425
10/31/24,39.08565521
11/7/24,38.93413925
11/14/24,38.85907364
11/21/24,39.30585861
11/28/24,39.25971985
12/5/24,39.16181183
12/12/24,39.42921066
12/19/24,39.17989349
12/26/24,39.24514389
1/2/25,39.04846573
