time,supplementary_salinity
3/15/2018,38.35283661
3/22/2018,38.89175034
3/29/2018,38.93491745
4/5/2018,38.81567383
4/12/2018,38.58583069
4/19/2018,38.44041443
4/26/2018,38.70484543
5/3/2018,38.03106689
5/10/2018,38.35598755
5/17/2018,38.81019592
5/24/2018,38.76065826
5/31/2018,38.40937424
6/7/2018,38.48957443
6/14/2018,38.4437561
6/21/2018,38.63190842
6/28/2018,39.31490326
7/5/2018,39.50018311
7/12/2018,39.31281662
7/19/2018,39.1024704
7/26/2018,38.89889145
8/2/2018,38.79231262
8/9/2018,38.97018814
8/16/2018,39.23521423
8/23/2018,39.62750626
8/30/2018,39.62043381
9/6/2018,39.69572449
9/13/2018,40.00434875
9/20/2018,39.86804962
9/27/2018,39.20428467
10/4/2018,39.2502861
10/11/2018,39.14839172
10/18/2018,39.42156601
10/25/2018,39.34205627
11/1/2018,39.07711411
11/8/2018,39.85950089
11/15/2018,39.56835556
11/22/2018,39.4645195
11/29/2018,38.89525604
12/6/2018,38.61306381
12/13/2018,39.2582016
12/20/2018,39.17002869
12/27/2018,39.47837067
1/3/2019,39.081604
1/10/2019,38.92799759
1/17/2019,38.61746597
1/24/2019,38.69065094
1/31/2019,38.98396301
2/7/2019,39.17950058
2/14/2019,39.25832367
2/21/2019,39.3740387
2/28/2019,38.95252609
3/7/2019,38.78380585
3/14/2019,38.43492126
3/21/2019,38.88386154
3/28/2019,38.46710587
4/4/2019,38.72198486
4/11/2019,38.30929565
4/18/2019,38.66919327
4/25/2019,39.12582779
5/2/2019,38.72437286
5/9/2019,38.25928116
5/16/2019,38.31240082
5/23/2019,38.64313126
5/30/2019,38.78833771
6/6/2019,38.58818436
6/13/2019,38.49205399
6/20/2019,39.46391296
6/27/2019,39.57159042
7/4/2019,39.54092407
7/11/2019,39.79092789
7/18/2019,39.47651672
7/25/2019,39.28582764
8/1/2019,39.43588257
8/8/2019,39.28518295
8/15/2019,38.81931305
8/22/2019,38.94163132
8/29/2019,39.58236694
9/5/2019,39.47474289
9/12/2019,39.91001129
9/19/2019,39.8068924
9/26/2019,39.53589249
10/3/2019,39.43776321
10/10/2019,38.99427032
10/17/2019,38.88315964
10/24/2019,39.25720215
10/31/2019,39.11477661
11/7/2019,38.53495407
11/14/2019,38.67390823
11/21/2019,38.70585251
11/28/2019,38.65293503
12/5/2019,38.80337524
12/12/2019,39.12127686
12/19/2019,38.65663528
12/26/2019,38.82632446
1/2/2020,39.28672028
1/9/2020,39.37048721
1/16/2020,38.86995316
1/23/2020,39.07125473
1/30/2020,39.19750977
2/6/2020,38.99586868
2/13/2020,39.37221909
2/20/2020,39.46949768
2/27/2020,39.47055817
3/5/2020,39.28396988
3/12/2020,38.97706985
3/19/2020,38.81825256
3/26/2020,38.76622009
4/2/2020,38.80626297
4/9/2020,38.69420624
4/16/2020,38.36826706
4/23/2020,38.12186432
4/30/2020,38.35884476
5/7/2020,38.79984283
5/14/2020,38.97035599
5/21/2020,38.75621796
5/28/2020,38.60197067
6/4/2020,38.66415024
6/11/2020,38.25450897
6/18/2020,38.55166245
6/25/2020,39.05798721
7/2/2020,39.04331589
7/9/2020,38.47314453
7/16/2020,38.23741913
7/23/2020,38.71176147
7/30/2020,39.72789001
8/6/2020,38.98169708
8/13/2020,39.25881195
8/20/2020,39.49814224
8/27/2020,39.41544724
9/3/2020,39.15888214
9/10/2020,38.93634415
9/17/2020,39.43128967
9/24/2020,39.12393188
10/1/2020,39.24373627
10/8/2020,39.27562332
10/15/2020,38.68785858
10/22/2020,39.08508301
10/29/2020,38.91979218
11/5/2020,38.62010574
11/12/2020,38.99956512
11/19/2020,38.94564056
11/26/2020,39.21743774
12/3/2020,39.38775635
12/10/2020,39.13988876
12/17/2020,39.02235031
12/24/2020,39.09095001
12/31/2020,38.91355515
1/7/2021,38.34680939
1/14/2021,38.5556488
1/21/2021,38.84676743
1/28/2021,38.82923889
2/4/2021,38.82037354
2/11/2021,39.22172928
2/18/2021,39.19566727
2/25/2021,39.20833588
3/4/2021,39.03250885
3/11/2021,38.85958099
3/18/2021,38.95328903
3/25/2021,38.5192337
4/1/2021,38.44065475
4/8/2021,38.75306702
4/15/2021,38.46924973
4/22/2021,38.48664474
4/29/2021,38.68924713
5/6/2021,37.95480728
5/13/2021,38.53154755
5/20/2021,38.53517914
5/27/2021,
6/3/2021,38.60658264
6/10/2021,38.35267258
6/17/2021,38.21976471
6/24/2021,38.63808823
7/1/2021,38.15526962
7/8/2021,38.32633209
7/15/2021,38.55004883
7/22/2021,38.88924789
7/29/2021,38.80460739
8/5/2021,38.93220901
8/12/2021,38.7297821
8/19/2021,38.7986145
8/26/2021,39.23241043
9/2/2021,39.56084061
9/9/2021,39.65626907
9/16/2021,39.55055618
9/23/2021,38.9949646
9/30/2021,39.39161682
10/7/2021,39.09756851
10/14/2021,39.21916199
10/21/2021,38.94570541
10/28/2021,38.92982864
11/4/2021,39.30509567
11/11/2021,39.38095856
11/18/2021,38.65067673
11/25/2021,39.37401581
12/2/2021,39.52906036
12/9/2021,38.9524231
12/16/2021,38.46271896
12/23/2021,39.1964798
12/30/2021,38.87090302
1/6/2022,38.89529037
1/13/2022,38.66078949
1/20/2022,38.40404129
1/27/2022,38.60058975
2/3/2022,38.83322144
2/10/2022,38.89206696
2/17/2022,38.9876976
2/24/2022,38.97638702
3/3/2022,39.07565689
3/10/2022,39.54573059
3/17/2022,38.62939072
3/24/2022,38.18084335
3/31/2022,38.67324066
4/7/2022,38.94309616
4/14/2022,38.9798584
4/21/2022,38.88277435
4/28/2022,38.55972672
5/5/2022,38.64155197
5/12/2022,38.59838104
5/19/2022,38.37186813
5/26/2022,38.21190262
6/2/2022,37.77212143
6/9/2022,38.68111038
6/16/2022,38.93620682
6/23/2022,38.43723679
6/30/2022,38.23033905
7/7/2022,38.85485458
7/14/2022,38.43983459
7/21/2022,38.49184799
7/28/2022,38.99500656
8/4/2022,39.05968094
8/11/2022,39.40503311
8/18/2022,39.10103607
8/25/2022,38.75059509
9/1/2022,39.5185051
9/8/2022,38.86641312
9/15/2022,38.70162582
9/22/2022,39.153862
9/29/2022,38.72937775
10/6/2022,38.26557541
10/13/2022,38.33869934
10/20/2022,38.67176437
10/27/2022,38.77867889
11/3/2022,38.82703018
11/10/2022,39.3484993
11/17/2022,39.06538391
11/24/2022,39.24491119
12/1/2022,39.46195221
12/8/2022,38.78793716
12/15/2022,38.62319946
12/22/2022,38.54474258
12/29/2022,38.83151245
1/5/2023,39.09710693
1/12/2023,38.9955101
1/19/2023,39.18241882
1/26/2023,39.15408325
2/2/2023,38.88663483
2/9/2023,38.7298851
2/16/2023,38.95833206
2/23/2023,38.68489838
3/2/2023,38.49678421
3/9/2023,38.8848877
3/16/2023,38.23290634
3/23/2023,38.25411606
3/30/2023,38.06581116
4/6/2023,38.62540436
4/13/2023,38.45947647
4/20/2023,38.02491379
4/27/2023,38.46354675
5/4/2023,38.3559761
5/11/2023,38.08027267
5/18/2023,38.46804047
5/25/2023,38.13479996
6/1/2023,38.5653038
6/8/2023,38.35165024
6/15/2023,38.27109146
6/22/2023,38.59865189
6/29/2023,38.52557755
7/6/2023,38.18967438
7/13/2023,38.59097672
7/20/2023,38.80620956
7/27/2023,38.81169891
8/3/2023,38.55653381
8/10/2023,38.36375046
8/17/2023,38.81190491
8/24/2023,39.10722351
8/31/2023,39.57859039
9/7/2023,39.41849518
9/14/2023,39.3232193
9/21/2023,39.53481293
9/28/2023,39.39532089
10/5/2023,38.92590332
10/12/2023,38.89720154
10/19/2023,38.93415833
10/26/2023,38.86536026
11/2/2023,38.86576462
11/9/2023,39.25494385
11/16/2023,38.88230896
11/23/2023,38.61840057
11/30/2023,38.87469101
12/7/2023,38.77988052
12/14/2023,38.90045166
12/21/2023,38.87031555
12/28/2023,38.67389297
1/4/2024,38.45315933
1/11/2024,38.96538162
1/18/2024,38.97257233
1/25/2024,38.83035278
2/1/2024,38.86619186
2/8/2024,38.80060196
2/15/2024,39.00353241
2/22/2024,39.24980545
2/29/2024,39.11148834
3/7/2024,38.66488647
3/14/2024,38.5995636
3/21/2024,38.56327057
3/28/2024,38.32723999
4/4/2024,38.13697052
4/11/2024,37.78910828
4/18/2024,37.72411728
4/25/2024,38.08256912
5/2/2024,38.26673126
5/9/2024,38.61315536
5/16/2024,38.60073471
5/23/2024,38.64584732
5/30/2024,38.64769363
6/6/2024,38.89370346
6/13/2024,39.06492615
6/20/2024,38.83434677
6/27/2024,38.13700867
